2025-07-29,MY,Ipoh,pm10,39.0
2025-07-29,MY,Johor Bahru,pm10,25.0
2025-07-29,MY,Klang,pm10,29.0
2025-07-29,MY,Kota Bharu,pm10,33.0
2025-07-29,MY,Kuala Lumpur,pm10,35.0
2025-07-29,MY,Kuantan,pm10,21.0
2025-07-29,MY,Kuching,pm10,33.0
2025-07-29,MY,Malacca,pm10,30.0
2025-07-29,MY,Miri,pm10,33.0
2025-07-29,MY,Seremban,pm10,34.0
2025-07-29,MY,Taiping,pm10,39.0
2025-07-29,Malaysia,Alor-Gajah,pm10,28.0
2025-07-29,Malaysia,Alor-Setar,pm10,22.0
2025-07-29,Malaysia,Bakar-Arang,pm10,32.0
2025-07-29,Malaysia,Balik-Pulau,pm10,22.0
2025-07-29,Malaysia,Balok-Baru,pm10,22.0
2025-07-29,Malaysia,Bandaraya-Melaka,pm10,31.0
2025-07-29,Malaysia,Banting,pm10,24.0
2025-07-29,Malaysia,Batu-Muda,pm10,31.0
2025-07-29,Malaysia,Batu-Pahat,pm10,26.0
2025-07-29,Malaysia,Bukit-Rambai,pm10,26.0
2025-07-29,Malaysia,Cheras,pm10,30.0
2025-07-29,Malaysia,Indera-Mahkota,pm10,22.0
2025-07-29,Malaysia,Jerantut,pm10,26.0
2025-07-29,Malaysia,Kangar,pm10,21.0
2025-07-29,Malaysia,Kemaman,pm10,22.0
2025-07-29,Malaysia,Kg.-Air Putih,pm10,27.0
2025-07-29,Malaysia,Kluang,pm10,34.0
2025-07-29,Malaysia,Kota-Bharu,pm10,22.0
2025-07-29,Malaysia,Kota-Kinabalu,pm10,33.0
2025-07-29,Malaysia,Kota-Tinggi,pm10,23.0
2025-07-29,Malaysia,Kuala-Selangor,pm10,26.0
2025-07-29,Malaysia,Kuala-Terengganu,pm10,32.0
2025-07-29,Malaysia,Langkawi,pm10,21.0
2025-07-29,Malaysia,Larkin-Lama,pm10,28.0
2025-07-29,Malaysia,Minden,pm10,30.0
2025-07-29,Malaysia,Nilai,pm10,34.0
2025-07-29,Malaysia,Paka,pm10,22.0
2025-07-29,Malaysia,Pasir-Gudang,pm10,36.0
2025-07-29,Malaysia,Pelabuhan-Kelang,pm10,28.0
2025-07-29,Malaysia,Pengerang,pm10,24.0
2025-07-29,Malaysia,Perai,pm10,39.0
2025-07-29,Malaysia,Petaling-Jaya,pm10,28.0
2025-07-29,Malaysia,Port-Dickson,pm10,29.0
2025-07-29,Malaysia,Putrajaya,pm10,23.0
2025-07-29,Malaysia,Rompin,pm10,25.0
2025-07-29,Malaysia,Segamat,pm10,32.0
2025-07-29,Malaysia,Shah-Alam,pm10,30.0
2025-07-29,Malaysia,Sri-Aman,pm10,29.0
2025-07-29,Malaysia,Tanah-Merah,pm10,24.0
2025-07-29,Malaysia,Tangkak,pm10,31.0
2025-07-29,Malaysia,Tanjung-Malim,pm10,24.0
2025-07-29,Malaysia,Temerloh,pm10,24.0
2025-07-30,MY,Alor Setar,pm10,23.0
2025-07-30,MY,George Town,pm10,28.0
2025-07-30,MY,Ipoh,pm10,40.0
2025-07-30,MY,Johor Bahru,pm10,32.0
2025-07-30,MY,Klang,pm10,25.0
2025-07-30,MY,Kota Bharu,pm10,23.0
2025-07-30,MY,Kuala Lumpur,pm10,29.0
2025-07-30,MY,Kuantan,pm10,21.0
2025-07-30,MY,Kuching,pm10,31.0
2025-07-30,MY,Malacca,pm10,28.0
2025-07-30,MY,Miri,pm10,30.0
2025-07-30,MY,Seremban,pm10,31.0
2025-07-30,MY,Taiping,pm10,29.0
2025-07-30,Malaysia,Alor-Gajah,pm10,32.0
2025-07-30,Malaysia,Alor-Setar,pm10,30.0
2025-07-30,Malaysia,Bakar-Arang,pm10,43.0
2025-07-30,Malaysia,Balik-Pulau,pm10,31.0
2025-07-30,Malaysia,Balok-Baru,pm10,31.0
2025-07-30,Malaysia,Bandaraya-Melaka,pm10,31.0
2025-07-30,Malaysia,Banting,pm10,24.0
2025-07-30,Malaysia,Batu-Muda,pm10,35.0
2025-07-30,Malaysia,Batu-Pahat,pm10,27.0
2025-07-30,Malaysia,Bukit-Rambai,pm10,32.0
2025-07-30,Malaysia,Cheras,pm10,30.0
2025-07-30,Malaysia,Indera-Mahkota,pm10,26.0
2025-07-30,Malaysia,Jerantut,pm10,26.0
2025-07-30,Malaysia,Kangar,pm10,24.0
2025-07-30,Malaysia,Kemaman,pm10,23.0
2025-07-30,Malaysia,Kg.-Air Putih,pm10,36.0
2025-07-30,Malaysia,Kluang,pm10,31.0
2025-07-30,Malaysia,Kota-Bharu,pm10,25.0
2025-07-30,Malaysia,Kota-Kinabalu,pm10,28.0
2025-07-30,Malaysia,Kota-Tinggi,pm10,19.0
2025-07-30,Malaysia,Kuala-Selangor,pm10,32.0
2025-07-30,Malaysia,Kuala-Terengganu,pm10,32.0
2025-07-30,Malaysia,Langkawi,pm10,24.0
2025-07-30,Malaysia,Larkin-Lama,pm10,25.0
